dist_km,ele,grade_pct,asym_power,asym_speed,gordon_power,gordon_speed
0.014,401.6,-4.1,262.7,11.0,252.1,10.9
0.051,401.4,-0.5,242.7,24.4,212.6,23.9
0.081,401.2,-0.7,228.3,28.5,191.3,27.5
0.119,401.0,-0.5,210.3,30.8,179.7,29.5
0.140,400.8,-1.0,197.2,32.2,173.2,30.9
0.156,400.6,-1.3,186.1,33.1,167.7,31.8
0.191,400.0,-1.7,171.4,34.3,160.6,33.1
0.211,399.4,-3.1,150.2,35.9,151.1,34.8
0.270,398.6,-1.3,146.3,36.9,148.7,36.1
0.388,397.0,-1.4,141.1,37.4,145.3,37.0
0.409,396.8,-1.0,141.0,37.5,144.5,37.3
0.428,396.6,-1.0,142.8,37.4,145.0,37.2
0.447,396.4,-1.1,143.7,37.3,145.2,37.2
0.467,395.8,-3.1,131.3,37.8,140.7,37.7
0.487,395.2,-2.9,123.9,38.8,138.1,38.8
0.508,394.6,-2.9,115.5,39.6,135.2,39.7
0.597,393.4,-1.3,121.7,39.4,136.3,39.7
0.620,393.2,-0.9,130.1,38.6,138.6,39.0
0.825,393.0,-0.1,164.6,36.2,152.7,36.2
0.934,391.8,-1.1,164.9,35.0,155.1,34.5
0.956,392.0,0.9,168.1,35.4,156.4,34.8
1.035,393.8,2.3,212.2,32.1,180.8,31.0
1.055,394.0,1.0,227.5,29.4,193.9,27.8
1.108,393.6,-0.7,207.6,30.9,180.3,29.3
1.131,393.0,-2.6,180.0,33.4,165.7,31.9
1.166,392.2,-2.3,157.7,35.5,155.0,34.2
1.191,391.6,-2.4,143.5,37.0,148.6,36.0
1.230,390.6,-2.6,128.3,38.2,142.0,37.5
1.282,388.6,-3.8,102.1,40.4,132.3,40.1
1.320,387.8,-2.1,95.1,41.6,128.9,41.8
1.495,383.2,-2.6,89.0,41.9,125.3,42.8
1.523,383.0,-0.7,97.1,41.7,126.1,43.1
1.550,382.8,-0.7,110.4,40.5,129.6,41.9
1.659,381.4,-1.3,123.4,39.2,133.9,40.5
1.683,381.2,-0.8,133.3,38.3,137.6,39.4
1.708,381.4,0.8,148.6,37.2,142.9,38.2
1.743,381.2,-0.6,156.4,36.2,146.5,37.0
1.766,381.0,-0.9,157.1,36.0,147.5,36.6
1.873,380.4,-0.6,162.0,35.7,150.9,35.9
1.898,380.2,-0.8,163.6,35.4,152.7,35.3
1.996,379.6,-0.6,164.6,35.4,153.8,35.1
2.020,379.4,-0.8,164.1,35.4,154.1,35.0
2.139,378.8,-0.5,166.9,35.2,155.7,34.7
2.163,378.6,-0.8,166.6,35.1,156.0,34.5
2.364,375.2,-1.7,140.6,36.9,145.0,36.6
2.389,375.0,-0.8,134.3,38.2,141.3,38.3
2.468,373.6,-1.8,130.1,38.3,139.5,38.5
2.560,372.8,-0.9,138.1,38.0,141.8,38.2
2.585,372.6,-0.8,146.2,37.1,144.7,37.3
2.641,373.2,1.1,172.6,35.3,155.7,35.4
2.661,373.8,3.1,207.2,32.6,173.2,32.3
2.680,374.0,1.0,211.3,31.4,176.8,30.8
2.699,374.2,1.1,214.7,31.1,179.9,30.2
2.718,374.8,3.2,228.6,30.1,192.8,29.0
2.763,376.4,3.5,240.3,27.3,215.1,26.0
2.790,377.2,3.0,248.3,25.1,231.4,23.5
2.825,377.8,1.7,245.6,25.1,224.7,23.7
2.843,378.4,3.3,248.6,25.2,231.0,23.8
2.861,378.8,2.2,247.7,24.9,228.7,23.5
2.887,379.2,1.5,244.6,25.4,222.3,24.0
2.913,379.6,1.6,241.8,26.1,217.0,24.7
2.947,379.4,-0.6,230.0,28.0,197.0,26.5
2.966,379.0,-2.1,205.4,30.7,178.3,29.1
2.997,377.6,-4.5,164.4,34.1,158.1,32.8
3.069,374.2,-4.7,104.2,39.6,134.3,39.0
3.246,366.2,-4.5,42.3,45.4,114.2,46.3
3.266,366.0,-1.0,35.0,47.3,110.2,49.3
3.477,366.4,0.2,128.2,40.6,134.5,42.0
3.508,366.8,1.3,187.7,33.8,159.4,34.4
3.539,367.0,0.6,196.9,32.7,165.8,32.8
3.560,366.8,-1.0,191.2,32.8,164.6,32.6
3.593,366.6,-0.6,183.8,33.5,162.4,33.1
3.663,364.8,-2.6,150.6,35.9,149.2,35.4
3.687,364.2,-2.5,129.3,38.3,140.9,38.0
3.712,363.6,-2.4,122.1,39.0,138.0,38.9
3.737,363.0,-2.4,116.4,39.5,135.8,39.5
3.792,363.4,0.7,144.0,37.9,144.6,38.0
3.826,363.8,1.2,174.3,35.1,156.7,35.0
3.861,363.4,-1.1,171.6,34.5,156.5,34.2
3.884,362.8,-2.6,156.5,35.7,150.8,35.4
3.918,362.4,-1.2,150.8,36.5,148.6,36.2
3.953,362.0,-1.2,149.2,36.7,147.8,36.4
3.976,361.8,-0.9,150.1,36.7,148.0,36.5
4.011,361.4,-1.1,149.4,36.7,147.7,36.5
4.035,361.2,-0.8,150.3,36.7,148.0,36.5
4.059,361.0,-0.8,151.7,36.6,148.5,36.3
4.082,360.8,-0.9,152.6,36.5,148.9,36.2
4.103,360.6,-0.9,152.7,36.4,149.0,36.2
4.123,360.4,-1.0,152.6,36.4,148.9,36.2
4.144,360.2,-1.0,152.5,36.4,148.9,36.2
